order_id,user_id,eval_set,order_number,order_dow,order_hour_of_day,days_since_prior_order
1483,90,prior,31,3,13,0
4595,66,prior,3,3,21,0
7099,27,prior,63,3,10,0
8382,23,prior,2,0,10,0
13318,56,train,13,1,9,0
14400,36,prior,10,1,18,0
19190,42,prior,3,1,19,0
19256,13,prior,4,1,12,0
20042,75,prior,12,3,12,0
21708,79,train,8,0,6,0
21889,71,prior,10,2,15,0
23391,7,prior,17,0,10,0
29758,67,prior,19,0,14,0
29902,70,prior,13,2,17,0
31801,46,prior,2,1,13,0
32664,90,prior,58,3,10,5
33681,64,prior,5,5,0,0
34647,66,train,7,3,19,23
35187,68,prior,2,5,12,0
39325,55,train,8,2,18,0
44604,75,prior,11,4,11,6
46584,67,prior,17,1,19,11
48293,57,prior,4,5,7,0
51418,54,prior,29,4,23,0
53644,90,prior,62,1,10,3
62370,30,train,9,2,13,0
62373,21,prior,5,1,14,0
63916,82,prior,8,5,10,0
64791,75,prior,9,2,13,11
65724,27,prior,54,4,15,2
66340,90,prior,16,3,12,5
68288,10,prior,2,5,15,0
72626,32,prior,4,3,9,0
75972,54,prior,75,6,12,2
77399,42,prior,4,1,9,7
77449,63,prior,34,1,12,0
77791,21,prior,19,3,9,8
79015,54,prior,1,2,19,NULL
80629,82,prior,5,5,16,12
83395,10,prior,4,3,15,14
85768,78,prior,3,0,8,0
86313,37,prior,2,6,12,0
86918,19,prior,9,5,16,0
88090,87,prior,5,5,7,0
91180,89,prior,5,0,12,0
91957,78,prior,5,0,14,30
94891,4,prior,4,5,13,0
97480,63,prior,28,4,8,9
100777,54,prior,66,4,11,7
103726,50,prior,67,3,9,0
107377,63,prior,14,6,8,7
113728,15,prior,14,1,10,0
114641,99,prior,13,4,16,0
118133,24,prior,5,0,11,0
121053,7,prior,3,0,18,30
122274,75,prior,17,2,13,10
122960,87,prior,22,3,8,3
125610,90,prior,54,1,10,3
127769,39,prior,3,6,17,0
129025,27,prior,35,3,16,1
129152,21,prior,4,1,14,14
131991,50,prior,42,2,10,2
134879,32,prior,1,3,12,NULL
135696,26,prior,11,4,17,0
137318,30,prior,7,1,6,28
139487,98,test,15,6,15,0
139655,22,test,16,5,6,0
139882,58,prior,11,5,9,0
142873,54,prior,6,1,7,9
144358,22,prior,2,3,7,30
144494,61,test,5,4,10,0
145694,96,prior,13,5,12,0
146991,99,prior,8,3,15,29
147262,82,prior,18,1,13,7
148717,89,prior,3,1,18,15
150528,67,prior,18,5,16,4
153527,95,prior,3,5,13,0
157374,5,prior,4,1,18,0
157550,20,prior,2,3,16,0
159678,54,prior,43,4,8,3
161814,87,prior,13,0,16,5
164627,58,prior,5,0,7,7
165754,96,prior,11,0,1,8
173172,24,prior,18,0,16,14
180919,52,prior,19,3,8,0
181977,28,prior,17,5,13,0
182020,50,prior,56,0,13,6
182125,36,prior,36,4,12,4
194741,22,prior,12,0,8,2
196008,24,prior,17,0,20,14
207152,75,prior,6,1,13,7
218647,50,prior,13,6,14,10
221248,12,prior,5,1,9,0
225381,27,prior,44,2,14,4
225812,65,prior,8,1,12,0
226861,63,prior,13,6,14,7
227361,53,prior,3,3,15,0
230851,27,prior,61,1,13,4
232622,42,prior,7,3,13,9
232721,26,prior,12,4,17,7
240889,36,prior,3,5,17,21
244623,46,prior,11,0,12,7
251784,83,prior,2,4,14,0
252244,41,prior,1,6,16,NULL
253625,88,prior,5,6,13,0
257099,90,prior,27,2,12,6
258751,25,prior,3,5,19,0
259674,94,prior,9,0,16,0
260590,90,prior,25,5,14,3
263949,90,prior,70,2,13,4
264488,27,prior,75,1,11,10
266804,92,prior,4,2,13,0
267052,85,prior,4,1,11,0
275380,89,prior,12,5,15,4
278124,36,prior,9,0,11,4
278626,42,prior,15,0,15,30
279523,28,prior,14,2,13,18
279995,97,prior,4,0,13,0
280530,9,prior,1,1,17,NULL
280888,31,test,21,4,9,0
291527,60,prior,3,2,13,0
298250,6,prior,2,4,16,0
300892,45,prior,1,1,20,NULL
309687,50,prior,64,2,12,10
311292,54,prior,24,6,12,1
319452,99,prior,14,4,16,21
320326,57,test,15,0,7,8
322607,71,prior,16,3,17,16
326173,58,prior,8,2,10,9
326370,90,prior,53,5,12,2
327827,37,prior,1,2,10,NULL
329954,4,test,6,3,12,30
335423,98,prior,5,4,16,21
338550,80,prior,4,1,10,0
338996,27,prior,25,5,10,10
342306,52,prior,9,1,11,7
343199,17,prior,26,5,17,0
343205,95,prior,6,5,14,25
343588,82,prior,10,2,11,1
348137,17,prior,39,5,16,11
356022,86,prior,14,1,12,0
357849,50,prior,7,3,13,8
358148,28,prior,6,2,12,14
360105,74,prior,2,5,6,0
361493,27,prior,1,3,9,NULL
363366,90,prior,60,3,9,5
364423,71,prior,1,3,10,NULL
369015,7,prior,19,3,12,3
370715,29,prior,6,5,11,0
370956,87,prior,11,5,8,19
373535,50,prior,62,2,11,4
374526,45,prior,3,3,20,18
375303,30,prior,1,1,13,NULL
378070,54,prior,16,1,12,3
378457,42,prior,8,0,10,11
379097,49,prior,6,1,11,0
380972,76,prior,9,4,8,0
383458,63,prior,27,2,11,11
388415,90,prior,45,3,9,3
389760,72,prior,4,6,13,0
390867,63,prior,16,3,15,5
394109,87,prior,25,1,11,4
398975,46,prior,8,1,12,21
400661,90,prior,5,4,7,6
408636,73,prior,4,5,16,0
409708,36,prior,17,0,15,11
412111,36,prior,2,5,18,8
412136,50,prior,47,2,11,6
414538,63,prior,5,1,10,8
415389,17,prior,20,5,13,7
419099,27,prior,46,1,10,4
423262,40,prior,8,0,10,0
423623,36,prior,18,4,17,18
431534,1,prior,5,4,15,0
431626,77,prior,6,1,11,0
434668,71,prior,6,2,14,12
435581,57,prior,7,2,10,12
440272,90,prior,71,3,9,1
441977,18,prior,6,6,12,0
443742,63,prior,39,0,11,13
444309,3,prior,2,3,19,0
446247,98,prior,6,0,18,30
450929,70,prior,11,3,18,30
453864,36,prior,7,6,14,15
455561,43,prior,8,1,17,0
457048,35,prior,4,0,20,0
458687,50,prior,23,6,17,5
461359,71,prior,17,1,11,12
461860,90,prior,6,5,17,1
462713,44,prior,2,1,9,0
463436,57,prior,8,4,1,9
465170,98,prior,10,3,17,30
465262,99,prior,2,4,13,14
465767,86,prior,1,0,9,NULL
473747,1,prior,3,3,12,21
474349,77,prior,3,0,15,27
479208,62,prior,10,1,12,0
479244,36,prior,16,3,21,5
482516,74,train,6,4,7,10
482971,50,prior,14,4,11,5
484397,37,prior,6,5,17,10
487368,15,prior,22,1,10,14
495013,63,prior,9,0,10,26
496907,54,prior,68,1,11,4
497940,21,prior,26,1,11,10
499460,82,prior,3,5,10,5
500437,49,prior,7,2,15,30
501067,48,prior,4,5,12,0
505360,50,prior,19,3,11,2
519471,13,prior,9,6,17,7
519514,49,train,9,4,12,2
521107,3,prior,11,0,18,11
521231,42,prior,9,3,19,24
524816,39,prior,4,6,10,7
524838,90,prior,32,5,12,2
525192,7,train,21,2,11,6
531345,96,train,17,1,11,30
532817,19,prior,7,4,17,6
534401,21,prior,12,1,9,21
536094,50,prior,24,3,10,4
536472,90,prior,61,5,12,2
539112,69,prior,3,2,18,0
546407,87,prior,20,6,9,5
550135,1,prior,7,1,9,20
551869,67,prior,14,1,9,7
555834,48,prior,10,5,22,14
561303,63,prior,18,5,12,4
565870,7,prior,11,0,15,6
568636,27,prior,78,5,15,4
570913,99,prior,10,0,16,12
580568,52,prior,5,2,10,8
581503,86,prior,2,0,16,30
584586,59,prior,1,5,15,NULL
586227,63,prior,33,3,12,9
596585,67,prior,3,1,13,7
596690,54,prior,77,1,11,1
600894,8,prior,1,6,0,NULL
601444,17,prior,17,5,21,4
603376,17,prior,22,6,16,4
603534,17,prior,14,6,17,5
606677,43,prior,1,1,18,NULL
609104,78,prior,1,1,19,NULL
611214,24,prior,1,3,20,NULL
612679,27,prior,23,2,13,6
613340,86,train,18,6,12,6
620971,29,prior,13,5,8,8
622677,94,test,10,6,14,30
623555,50,prior,32,2,12,7
624228,95,prior,2,3,11,9
624246,89,prior,17,6,10,13
625018,27,prior,77,1,8,7
629726,64,prior,6,3,20,19
631226,54,prior,8,5,16,13
634494,22,prior,8,5,9,13
634665,43,prior,4,3,18,6
636918,50,prior,57,5,12,5
637147,99,prior,11,5,10,26
637547,91,train,16,1,10,0
638062,31,prior,3,4,12,6
638726,54,prior,14,0,11,7
640014,54,prior,22,6,10,2
642111,50,prior,54,6,10,3
643818,74,prior,1,5,8,NULL
654294,27,prior,29,3,14,0
656728,43,prior,3,4,11,7
664952,36,prior,19,0,8,3
669187,36,prior,26,3,18,6
669729,70,train,14,5,12,30
673583,31,prior,12,4,12,10
674977,17,prior,36,3,12,30
676467,3,prior,10,3,16,17
680467,100,prior,1,3,18,NULL
681011,98,prior,9,3,9,30
682472,36,prior,13,6,15,20
682914,27,prior,52,3,15,15
685887,29,prior,9,6,13,9
690372,75,prior,8,5,15,5
691089,4,prior,3,4,15,21
692224,58,prior,2,0,10,3
692225,65,prior,11,4,9,30
692802,54,prior,56,4,9,1
693452,90,prior,64,3,11,5
695934,31,prior,2,5,11,0
697863,17,prior,29,6,14,5
698604,34,train,6,4,13,0
703584,71,prior,20,6,14,9
707453,35,test,10,4,15,21
711999,37,prior,8,3,19,23
712331,37,prior,12,6,22,30
714002,58,prior,3,6,15,13
714991,15,prior,4,1,11,16
718156,38,prior,6,6,9,0
721266,84,prior,1,4,9,NULL
725451,38,prior,11,0,0,9
726121,90,prior,63,5,11,4
733734,90,prior,11,5,14,2
737247,77,prior,12,0,15,6
737301,70,prior,5,0,13,30
738281,2,prior,4,2,10,0
746041,36,prior,12,0,16,9
747431,98,prior,12,6,13,30
749250,48,prior,7,6,11,29
752188,90,prior,21,5,16,3
758679,56,prior,8,0,16,5
760273,28,prior,20,1,13,10
760382,82,prior,17,1,12,14
762760,82,prior,2,0,11,18
768572,67,prior,16,4,10,9
771049,27,prior,62,2,10,1
771208,90,prior,48,5,13,2
771250,50,prior,12,3,18,4
774475,21,prior,16,1,11,7
776265,7,prior,8,2,12,8
784032,96,prior,16,3,9,9
784714,45,prior,2,6,19,12
788338,2,prior,8,1,15,27
790927,11,prior,6,5,11,0
791858,17,prior,34,5,12,16
793311,36,prior,34,6,11,10
795223,38,prior,8,6,18,28
795269,48,prior,8,6,11,14
797450,72,prior,11,4,16,6
799775,90,prior,9,5,15,2
802141,64,prior,1,2,14,NULL
804483,27,prior,65,4,10,3
805025,17,prior,11,4,15,4
807593,56,prior,2,1,8,7
813240,31,prior,19,0,17,4
816714,24,prior,6,6,8,13
817409,61,prior,1,2,11,NULL
821110,46,prior,7,1,12,28
828701,99,prior,4,2,13,23
829855,91,prior,4,2,8,13
838910,87,prior,1,6,17,NULL
839442,57,prior,11,2,7,3
839880,2,prior,14,3,10,13
840547,92,prior,5,2,8,21
841710,37,prior,20,3,16,9
843529,78,prior,2,6,10,5
856880,90,prior,26,3,12,5
859009,39,prior,5,6,19,7
859654,82,train,20,1,10,13
862838,54,prior,11,4,12,2
863243,63,prior,12,6,13,6
863974,67,prior,22,1,11,14
864720,65,prior,14,2,9,30
865148,90,prior,51,5,10,2
865324,21,prior,32,1,13,12
865967,54,prior,72,1,13,4
867561,50,prior,34,0,22,2
875452,29,prior,2,2,8,11
875885,16,prior,2,1,13,0
876095,15,prior,6,5,11,8
880375,8,train,4,1,14,10
881725,54,prior,12,5,9,8
882556,39,test,8,6,13,7
886786,87,prior,14,1,17,8
886814,50,prior,25,2,11,6
887727,15,prior,9,2,13,7
894015,38,prior,7,6,10,28
899785,54,prior,59,4,8,5
900554,17,prior,10,0,15,4
900590,27,prior,19,3,9,9
903277,36,prior,31,6,12,10
905479,54,prior,20,3,10,4
910390,54,prior,62,2,10,6
912404,17,prior,12,2,14,5
913794,58,prior,1,4,14,NULL
917141,73,prior,6,0,13,25
920597,71,prior,9,5,14,30
920968,27,prior,36,5,14,2
927478,96,prior,3,4,16,6
932035,66,prior,6,1,11,30
933179,27,prior,51,2,9,5
935755,50,prior,11,6,9,4
939629,54,prior,13,0,11,2
939800,70,prior,6,4,16,11
940313,42,prior,1,2,10,NULL
944694,52,prior,12,1,16,6
947722,20,prior,1,1,10,NULL
949025,57,prior,12,6,11,4
954107,91,prior,9,2,14,7
963053,31,prior,18,3,11,0
964058,62,prior,2,4,10,10
965160,24,train,19,0,16,0
965677,27,prior,3,3,8,1
970922,67,prior,2,1,15,5
971516,39,prior,2,0,15,7
973757,63,prior,10,2,14,2
976101,56,prior,7,2,11,8
979759,28,prior,18,0,17,9
983132,93,prior,5,5,9,0
986094,30,prior,5,2,11,30
989260,60,prior,6,2,14,25
994572,27,prior,73,5,14,4
998554,89,prior,14,1,14,7
998866,6,prior,3,2,18,12
1000935,54,prior,65,4,11,10
1002033,96,prior,10,6,13,9
1007361,27,prior,5,2,15,4
1007570,86,prior,10,6,16,26
1009350,78,prior,6,6,10,30
1010419,90,prior,15,5,15,3
1010713,86,prior,9,1,21,15
1014379,7,prior,7,1,15,7
1014994,22,prior,9,5,15,28
1016285,72,prior,10,5,16,15
1019719,62,train,11,2,12,29
1020460,18,prior,5,2,16,9
1023454,63,prior,32,1,13,6
1023723,63,prior,19,3,16,5
1025119,27,prior,56,3,11,1
1030102,52,prior,24,2,9,8
1032510,36,prior,35,0,16,15
1035233,48,prior,1,6,16,NULL
1035645,96,prior,5,3,11,9
1043148,90,prior,50,3,9,2
1047678,75,prior,10,5,12,3
1048460,86,prior,11,3,12,25
1049206,29,prior,7,1,12,10
1053617,90,prior,4,5,13,2
1057378,12,prior,4,3,9,26
1060278,27,prior,20,1,16,12
1062536,29,prior,12,4,8,13
1063629,96,prior,9,4,16,7
1066317,91,prior,5,4,20,9
1067581,27,prior,49,3,14,0
1070540,72,prior,2,1,14,30
1071381,59,prior,6,2,10,20
1072501,71,prior,19,4,9,14
1072926,23,prior,4,3,11,30
1072954,65,train,15,6,17,30
1076291,50,prior,46,3,7,2
1077695,50,prior,21,1,13,14
1082944,21,prior,14,1,9,10
1084179,68,prior,5,1,11,30
1089019,66,prior,1,2,17,NULL
1089058,58,prior,7,0,9,3
1094601,77,prior,8,6,18,7
1094988,9,train,4,6,10,30
1097156,90,prior,18,2,13,4
1099519,60,test,9,4,22,30
1099991,51,prior,1,3,14,NULL
1102893,54,prior,51,2,23,2
1103927,24,prior,14,6,8,4
1107137,54,prior,69,5,15,4
1110781,21,prior,29,2,9,8
1111867,27,prior,30,4,16,1
1120389,31,prior,8,0,11,5
1122034,85,prior,6,1,14,9
1122089,52,prior,17,2,10,6
1128333,63,prior,31,2,17,4
1132197,40,prior,5,6,9,20
1136841,35,prior,3,6,9,30
1137431,90,prior,69,5,11,4
1138968,28,prior,1,0,14,NULL
1141480,80,prior,6,0,13,8
1144929,93,prior,2,2,9,30
1145465,40,prior,9,0,9,14
1145920,37,prior,9,6,14,17
1145961,36,prior,11,5,19,4
1149132,27,prior,21,2,11,8
1149184,27,prior,53,2,9,6
1154181,93,prior,4,6,9,1
1154612,91,prior,11,4,11,30
1154777,74,prior,3,1,8,10
1158241,50,prior,41,0,16,4
1158830,94,prior,6,6,19,6
1162211,54,prior,52,4,11,2
1166994,21,prior,3,1,13,7
1170872,11,prior,2,5,11,12
1175028,7,prior,13,5,15,5
1176583,99,prior,12,3,15,12
1177903,50,prior,38,1,7,4
1177946,95,prior,1,1,12,NULL
1179185,93,train,15,1,10,5
1179244,37,prior,17,4,14,6
1182191,50,prior,27,5,7,11
1182951,54,prior,15,5,12,12
1183257,31,prior,6,0,16,7
1185674,36,prior,21,0,9,3
1187899,1,train,11,4,8,14
1189699,36,prior,24,2,7,5
1192143,28,test,25,1,16,8
1192814,87,prior,16,0,15,8
1194452,27,prior,31,2,14,5
1199615,99,prior,16,5,18,7
1199898,2,prior,6,2,9,13
1200303,90,prior,46,5,12,2
1201330,27,prior,59,3,9,5
1205618,60,prior,2,5,14,26
1207762,29,prior,5,1,11,9
1210985,32,prior,5,1,23,30
1216869,49,prior,1,2,9,NULL
1219654,22,prior,3,0,21,4
1221340,56,prior,9,1,8,8
1223316,63,prior,38,1,14,9
1224907,10,prior,1,2,14,NULL
1225000,27,prior,72,1,13,7
1225619,63,prior,11,0,7,5
1227088,95,train,9,5,12,21
1229178,50,prior,51,5,10,11
1237400,50,prior,43,6,9,4
1244041,38,prior,5,0,14,22
1247527,12,prior,2,5,9,30
1250641,49,prior,8,2,11,28
1250733,27,prior,70,3,15,1
1254066,46,prior,16,0,15,21
1261384,52,prior,3,1,10,7
1261865,50,prior,15,2,10,5
1262038,99,prior,6,3,13,23
1268191,52,prior,15,2,11,8
1269089,35,prior,1,5,21,NULL
1271686,56,prior,6,1,18,8
1272493,28,prior,13,5,17,11
1273676,16,prior,1,2,8,NULL
1275664,62,prior,7,1,14,18
1275838,32,prior,2,3,12,30
1276879,87,prior,19,1,8,7
1286484,93,prior,13,4,12,5
1286556,89,prior,8,0,13,6
1289863,99,train,19,2,11,22
1291785,50,prior,26,1,13,6
1294288,37,prior,22,6,15,30
1303645,47,prior,2,6,15,0
1307894,52,prior,22,1,9,10
1308004,38,prior,2,4,11,30
1310932,81,prior,2,1,12,0
1311494,27,prior,27,1,15,17
1316279,35,prior,8,4,17,30
1318796,90,train,72,5,9,2
1318871,52,prior,2,1,10,7
1320132,36,test,38,0,8,3
1321441,54,prior,21,4,0,1
1321974,19,prior,1,6,13,NULL
1322450,21,prior,24,5,8,3
1325316,54,test,78,2,23,1
1327957,56,prior,10,2,10,8
1331103,80,prior,1,2,6,NULL
1335295,14,prior,11,1,5,0
1338309,75,prior,20,6,11,14
1339168,54,prior,32,6,11,2
1341128,31,prior,7,2,13,2
1342998,83,prior,6,1,12,20
1345233,85,test,8,0,16,3
1350399,90,prior,35,4,9,7
1353310,10,prior,5,5,20,23
1354506,37,prior,3,0,1,8
1354911,75,prior,13,1,13,5
1356845,12,test,6,1,20,30
1358880,82,prior,9,1,10,30
1359969,44,prior,1,0,7,NULL
1363380,50,prior,1,3,9,NULL
1366559,14,prior,3,0,14,2
1368577,24,prior,15,0,10,15
1368931,50,prior,45,1,12,6
1374495,3,prior,1,1,14,NULL
1374792,27,prior,42,5,14,0
1376443,62,prior,5,4,20,4
1376661,54,prior,17,6,13,12
1376945,11,test,8,6,11,8
1378982,13,prior,5,0,13,6
1380270,27,prior,48,3,10,1
1380784,27,prior,12,1,11,3
1381572,57,prior,1,6,10,NULL
1382694,71,prior,11,5,13,3
1385031,59,prior,2,1,10,24
1385397,17,prior,38,1,15,30
1385564,14,prior,4,6,8,20
1385847,17,prior,27,4,10,6
1385910,28,prior,21,2,17,1
1386615,74,prior,4,3,7,23
1389057,17,prior,13,1,13,6
1390523,79,prior,5,0,2,21
1394419,37,prior,14,5,14,20
1396119,7,prior,10,1,20,9
1402090,2,prior,11,1,10,30
1402502,3,prior,12,1,15,15
1404810,54,prior,71,4,10,3
1406544,46,prior,6,1,15,28
1406911,27,prior,14,3,9,8
1411408,25,test,4,0,15,30
1411620,96,prior,14,2,15,30
1413723,21,prior,20,1,10,12
1415679,24,prior,7,0,8,15
1416320,16,test,7,0,13,7
1422896,65,prior,3,0,10,14
1431584,21,prior,22,3,9,9
1431607,50,prior,10,2,10,5
1432100,28,prior,5,2,15,27
1433019,54,prior,61,3,12,4
1435093,57,prior,2,4,11,5
1437649,71,prior,14,0,15,16
1439105,90,prior,49,1,12,3
1444198,91,prior,1,3,14,NULL
1447487,2,prior,10,1,11,6
1454750,91,prior,3,3,20,4
1456703,54,prior,73,2,23,1
1456739,96,prior,6,1,15,12
1456958,57,prior,3,3,17,6
1460681,27,prior,8,3,15,1
1460684,36,prior,27,5,21,16
1462074,94,prior,4,5,18,9
1463865,73,prior,2,3,20,30
1468214,11,prior,7,5,9,30
1469604,83,prior,4,4,18,20
1469897,40,prior,3,6,11,12
1472646,13,prior,11,0,14,8
1474394,76,prior,8,2,9,19
1481969,28,prior,16,4,12,1
1483446,12,prior,1,1,12,NULL
1488077,26,prior,3,5,10,7
1491175,76,prior,4,1,7,13
1491849,16,prior,3,1,20,21
1492625,2,train,15,1,11,30
1493222,82,prior,12,4,19,6
1493525,39,prior,6,0,12,15
1498922,52,prior,18,2,10,14
1501349,82,prior,13,0,10,10
1501582,2,prior,2,5,10,10
1505422,84,prior,3,5,13,18
1505429,51,prior,2,2,14,13
1506191,80,prior,9,2,8,6
1506478,88,prior,2,4,15,10
1507154,56,prior,5,0,9,6
1511050,24,prior,3,3,21,30
1514655,54,prior,5,6,16,5
1515062,83,prior,5,2,17,12
1515698,67,prior,11,1,11,7
1519861,75,prior,1,5,13,NULL
1520353,52,prior,10,2,10,8
1522904,76,prior,2,5,11,30
1523605,27,prior,17,2,9,7
1524161,37,train,24,0,13,16
1526098,49,prior,4,3,16,30
1528013,6,test,4,3,16,22
1530871,43,prior,2,4,19,24
1533023,90,prior,38,5,16,1
1536780,90,prior,57,5,11,2
1537903,33,prior,3,1,19,0
1538381,46,prior,10,0,12,6
1538989,63,prior,6,6,14,12
1545777,57,prior,9,3,22,6
1546110,54,prior,2,0,22,5
1551092,71,prior,23,2,10,18
1551977,52,prior,8,1,10,6
1557694,49,prior,5,1,12,19
1558976,67,prior,21,1,9,5
1559403,27,prior,57,4,13,1
1560102,42,prior,6,1,19,13
1560223,27,prior,68,2,8,4
1567570,72,prior,8,0,14,15
1568481,67,prior,6,3,12,7
1569834,34,prior,2,4,7,28
1569984,90,prior,10,3,9,5
1573122,27,prior,81,1,13,6
1573906,21,prior,10,3,10,6
1574973,77,prior,4,2,9,16
1578024,75,prior,22,2,13,9
1578027,58,prior,4,0,17,1
1580628,63,prior,26,5,17,5
1583644,65,prior,1,0,9,NULL
1584053,28,prior,9,1,15,30
1588002,38,prior,3,0,11,17
1588305,52,prior,27,1,8,10
1589342,28,prior,2,5,13,19
1589698,90,prior,40,4,16,2
1593000,31,prior,10,3,8,7
1596917,89,prior,7,1,17,25
1597833,60,prior,8,1,11,30
1598289,54,prior,54,6,11,8
1602446,36,prior,4,1,11,10
1602489,42,prior,13,4,12,9
1603399,27,prior,38,2,16,1
1604099,75,prior,4,4,16,15
1611810,11,prior,4,5,13,30
1615255,27,prior,58,5,8,1
1619617,86,prior,5,1,15,14
1623693,57,prior,6,4,21,13
1623811,97,prior,2,1,12,30
1625325,14,prior,10,4,21,30
1625716,59,prior,10,4,8,11
1625976,65,prior,5,5,14,4
1626957,36,prior,6,5,15,15
1630444,43,prior,7,0,12,10
1630627,54,prior,33,1,1,2
1631228,80,prior,8,3,15,12
1639907,28,prior,10,0,17,6
1640680,24,prior,9,1,8,30
1641287,27,prior,28,3,10,2
1643524,48,prior,5,6,10,29
1645927,30,prior,4,2,13,22
1647290,52,train,28,4,16,3
1647841,29,prior,18,5,11,14
1651215,59,train,11,0,12,10
1657089,75,prior,23,4,14,9
1657641,48,prior,6,5,9,27
1659155,27,prior,13,2,17,1
1662354,27,prior,2,2,17,6
1666812,27,prior,33,4,15,6
1673511,2,prior,5,3,11,8
1673791,50,prior,8,6,14,3
1674891,21,prior,18,2,11,21
1677021,55,prior,6,2,13,28
1680554,52,prior,6,1,13,6
1681401,17,prior,2,5,10,3
1682003,7,prior,6,1,18,10
1682591,90,prior,29,4,12,2
1683378,17,prior,24,1,10,5
1683909,54,prior,55,3,11,18
1684010,93,prior,7,6,13,1
1691300,38,prior,4,6,12,20
1691859,14,prior,5,5,8,30
1695742,7,prior,4,2,10,9
1700658,78,train,7,6,11,7
1709286,32,prior,3,2,10,20
1713067,61,prior,4,1,9,30
1716848,21,prior,7,5,9,28
1718559,2,prior,9,2,9,8
1719551,17,prior,16,1,12,6
1719560,36,prior,29,3,21,3
1723781,67,prior,7,2,13,6
1726905,84,prior,6,0,12,18
1727614,37,prior,23,5,16,6
1734166,81,train,8,5,18,8
1735495,21,prior,27,3,8,9
1735923,19,test,10,6,17,8
1736749,37,prior,10,3,18,11
1737705,17,prior,1,2,13,NULL
1738766,86,prior,6,6,19,12
1740853,37,prior,13,6,19,14
1743175,90,prior,2,1,9,3
1743688,54,prior,70,1,15,3
1748639,29,prior,17,5,13,11
1750084,50,train,68,3,9,7
1751600,37,prior,15,0,16,30
1757094,13,prior,8,6,18,13
1763414,63,prior,3,4,14,11
1764004,63,prior,22,3,14,5
1765409,31,prior,20,0,17,0
1766930,22,prior,13,5,10,5
1771198,27,prior,7,2,14,5
1775331,57,prior,13,3,10,11
1776467,21,prior,25,5,8,7
1782508,28,prior,4,3,16,17
1783260,60,prior,4,2,11,28
1789302,13,prior,12,6,13,6
1791727,89,prior,2,0,17,10
1792521,23,prior,1,5,14,NULL
1794276,59,prior,9,0,21,30
1794598,54,prior,50,0,22,1
1798774,26,prior,4,4,20,6
1803772,87,prior,18,1,19,8
1806047,21,prior,21,1,9,7
1812321,62,prior,8,4,13,30
1812985,81,prior,5,2,20,30
1816203,90,prior,19,5,9,3
1816335,42,prior,2,1,15,6
1816750,63,prior,35,1,12,14
1818037,28,prior,22,2,15,7
1819575,28,prior,12,1,19,1
1822501,10,train,6,0,19,30
1827621,13,train,13,0,21,8
1830137,9,prior,3,5,12,30
1830818,68,prior,3,4,19,30
1830981,35,prior,6,6,10,1
1832360,27,prior,67,5,10,4
